code	producer_version_id	lc	product_name_ar	product_name_cs	product_name_da	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_nl	product_name_no	product_name_pl	product_name_pt	product_name_ro	product_name_ru	product_name_sv	abbreviated_product_name_fr	generic_name_da	generic_name_de	generic_name_en	generic_name_es	generic_name_fi	generic_name_fr	generic_name_hu	generic_name_it	generic_name_nl	generic_name_no	generic_name_pl	generic_name_pt	generic_name_ro	generic_name_ru	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	origin_en	origin_fr	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_da	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_hu	ingredients_text_it	ingredients_text_nl	ingredients_text_no	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	gondoic-acid_value	gondoic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	lactose_value	lactose_unit	serum-proteins_value	serum-proteins_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-c_value	vitamin-c_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b12_value	vitamin-b12_unit	biotin_value	biotin_unit	pantothenic-acid_value	pantothenic-acid_unit	bicarbonate_value	bicarbonate_unit	potassium_value	potassium_unit	chloride_value	chloride_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	caffeine_value	caffeine_unit	ph_value	ph_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	packaging_5_shape	packaging_6_shape	packaging_7_shape	packaging_7_material	packaging_7_recycling	conservation_conditions_fr	preparation_fr	nutriscore_score_producer	nutriscore_grade_producer	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
8711327374904	Ben & Jerry's ND COOKIES ON COOKIE DOUGH Dessert Glacé 465 ML	en				Cookies on Cookie Dough	Cookies on Cookie Dough Non-Dairy Ice Cream	Cookies on Cookie Dough Non-Dairy Ice Cream		Cookies on Cookie Dough					Cookies on Cookie Dough Non-Dairy Ice Cream				B&j 465ml ndcookieoncookdou		Veganes Karamelleisvauf Mandelbasis, durchzogen von Keksstrudeln (6%), mit Cookieteig-Stücken (9%) (mit Schokoladenstückchen) und kakaohaltigen Fettglasurstückchen (5%)	Non-dairy caramel ice cream with cookie swirls, cookie dough and chocolatey chunks	Producto vegetal gelado a base de leche de almendras de caramelo con remolinos de galleta, trozos de galleta con pepitas de chocolate y trocitos chocolateados		"Glace caramel à base d'amande, avec des spirales de sauce cookie (6%), des morceaux de pâte à cookie aux pépites de chocolat (9%) et des inclusions au cacao (5%)."			Karamel-ijs gemaakt met amandel en een pasta van stukjes koek (6%), koekdeeg met chocostukjes (9%) en stukken cacaofantasie (5%)			Gelado de caramelo com biscoito, pedaços de biscoito com chocolate e pedaços de chocolate				465 ml		Frozen, fr:couvercle carton, fr:pot carton	en:frozen,fr:couvercle-carton,fr:pot-carton	Ben & Jerry's	ben-jerry-s		Plant-based foods and beverages, Plant-based foods, Dairy substitutes, Desserts, Frozen foods, Non-dairy desserts, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream tubs, Plant-based ice creams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:dairy-substitutes,en:desserts,en:frozen-foods,en:non-dairy-desserts,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-tubs,en:plant-based-ice-creams	Vegetarian, Fair trade, Vegan, 100% vegetable, European Vegetarian Union, European Vegetarian Union Vegan, Fairtrade International, Without addition of dairy products	en:vegetarian,en:fair-trade,en:vegan,en:100-vegetable,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fairtrade-international,en:without-addition-of-dairy-products	Austria, Belgium, France, Germany, Netherlands, Switzerland, United Kingdom	en:austria,en:belgium,en:france,en:germany,en:netherlands,en:switzerland,en:united-kingdom	Kaufland,Auchan,Lidl,carrefour.fr	kaufland,auchan,lidl,carrefour-fr	0		Unspecified	en:unspecified			Pays-Bas							"Trinkwasser, Zucker, pflanzliche Fette und Öle (Kokos, Soja, Raps), Glukosesirup, WEIZENMEHL, MANDELpaste 3%, brauner Zucker, Maisstärke, Puderzucker, fettarmer Kakao, Erbsenprotein, WEIZENVOLLKORNMEHL, Emulgatoren (Lecithine (Sonnenblumen, SOJA), Kakaobutter, Kakaomasse, Speisesalz, Tapiokamehl, Stabilisatoren (Guarkemmehl, Johannisbrotkernmehl), Vanilleextrakt, Melasse, natürliches Aroma, Backtriebmittel Natiumhydrogencarbonat"	water, sugar, vegetable oils (coconut, fully refined soy, rapeseed oil), glucose syrup,  wheat  flour,  almond paste 3%, brown sugar, corn starch, icing sugar, fat-reduced cocoa powder, pea protein, whole wheat flour, emulsifiers (sunflower lecithin,  soy lecithin), cocoa butter, cocoa mass, salt, tapioca flour, stabilisers (guar gum, locust bean gum), vanilla extract, molasses, natural flavouring, raising agent (sodium bicarbonate),	Agua, azúcar, grasa de coco, jarabe de glucosa, harina de _trigo_, pasta de _almendra_ 3%, aceite de soja, azúcar moreno., almidón de maíz, azúcar glas, cacao en polvo, proteína de guisante, harina integral de _trigo_, emulgentes (lecitina de girasol, lecitina de _soja_), manteca de cacao, pasta de cacao, aceite de nabina, sal, harina de tapioca, estabilizantes (goma garrofín, goma guar), extracto de vainilla, melazas, aroma natural, gasificante (carbonatos de sodio).		"Eau, sucre, huiles végétales (coco, _soja_, colza), sirop de glucose, farine de _BLÉ_, purée d'_AMANDE_ (3%), sucre roux, amidon de maïs, sucre glace, cacao maigre en poudre, protéine de pois, farine de _BLÉ_ complète, émulsifiants (lécithine de tournesol, lécithine de _SOJA_), beurre de cacao, pâte de cacao, sel, farine de tapioca, stabilisants (gomme guar, farine de graines de caroube), extrait de vanille, mélasse, arôme naturel, poudre à lever (carbonates de sodium)."			Water, suiker, plantaardige oliën E (kokos, soja, raapzaad), glucosestroop, TARWEBLOEM, AMANDELPASTA (3%), bruine suiker, maiszetmeel, poedersuker, magere cacaopoeder, erwteneiwit, volkoren TARWEBLOEM, emulgatoren (zonnebloemlecithine, SOJALECITHINE), cacaoboter, cacaomassa, zout, tapiocabloem, stabilisatoren (guargom, johannesbroodpitmeel), vanille-extract, melasse, natuurlijk aroma, rijsmiddel (natriumbicarbonaat).			Agua, açúcar, gordura de coco, xarope de glicose, farinha de _trigo_, pasta de amêndoa 3%, óleos vegetais (soja, colza), açúcar caramelizado, amido de milho, açúcar em pó, cacau em pó, proteína de ervilha. farinha de _trigo_ integral, emulsionantes (lecitina de girassol, lecitina de _soja_), manteiga de cacau, pasta de cacau, sal, farinha de tapioca, espessantes (goma de guar, farinha de sementes de alfarroba), extrato de baunilha, melaço, aroma natural, levedante (bicarbonato de sódio).			Gluten, Milk, Nuts, Soybeans	en:gluten,en:milk,en:nuts,en:soybeans				100g	100g	1111	kJ			264	kcal			14	g			8.7	g			33	g			23	g			0.96	g	1.9	g			0.14	g			0.056	g					1111	kJ																																																							1	en:container						en:lid	en:cardboard				1	en:pot	en:cardboard		en:film							Store at -18°C$$$	Pour une dégustation encore plus onctueuse de votre crème glacée, sortez-le quelques minutes avant de servir.			Ben & Jerry's Relation Consommateurs, Unilever France, 20 rue des Deux Gares 92842 Rueil-Malmaison Cedex	https://www.benjerry.co.uk/flavours/cookies-on-cookie-dough-non-dairy/tubs	en:ice-cream	en:milk-and-dairy-products,en:ice-cream	4	en:4-ultra-processed-food-and-drink-products	d	15	a	80		39509	-5	-12	0	10								3011780500106	10000215	Crèmes Glacées/Desserts Glacés (Surgelé)	true	2023-05-25T06:02:39+02:00	UNILEVER FRANCE GMS	Ben & Jerry's ND COOKIES ON COOKIE DOUGH Dessert Glacé 465 ML	2023-05-25T06:02:39+02:00	App - yuka, Apps, Producers, Producer - unilever-france-gms, Database - Equadis, Database - GDSN, Databases, App - Horizon, App - InFood, App - Open Food Facts
5034000110709		en					Beechdean Farmhouse Diary Ice Cream																														Tub	en:tub	Beechdean Farmhouse	beechdean-farmhouse		Desserts, Frozen foods, Frozen desserts	en:desserts,en:frozen-foods,en:frozen-desserts			United Kingdom	en:united-kingdom			0																															100g	100g																																																																																																																																	unknown			unknown		1		-5	-15	1	0																
5060717560223		en					Vanilla ice cream																												900 g									No gluten	en:no-gluten	United Kingdom	en:united-kingdom			0																															100g	100g					0	kcal			3.8	g			2	g			3.5	g			0.5	g					88	g			1.8	g			0.72	g					0	kcal																																																																																							unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
8714100635650	CU MAGN 55ML MINI ALMOND CL1 6MP	en			mini Almond	mini Almond	mini Almond	mini Almond		mini Amande		mini Almond			mini Almond			mini Almond	Mag mini amande 6x55ml	Is med vanilje fra Madagaskar og overtræk af mælkechokolade (31%) med mandelsplitter (4%)	Vanilleeis mit Vanille aus Madagascar, Milkschokolade (31%) und Mandeln (4%)	Ice cream with vanilla from Madagascar coated with milk chocolate (31%) and almonds (4%)	Helado con vainilla de Madagascar recubierto de chocolate con leche (31%) y almendras (4%)		Glace vanille de Madagascar enrobée de chocolat au lait (31%) et d'amandes (4%).			Vanille-ijs met vanille uit Madagaskar omhuld met melkchocolade (31%) en stukjes amandel (4%)			Gelado de baunilha de Madagáscar coberto com chocolate de leite (31%) e amêndoas (4%)			Glass med vanilj från Madagaskar och överdrag av mjölkchoklad (31%) med mandelbitar (4%)	330 ml / 276 g	55 ml / 46 g	Plastic, Box	en:plastic,en:box	Magnum	magnum		Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream bars	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars	No gluten, Green Dot, Rainforest Alliance, Rainforest Alliance Cocoa	en:no-gluten,en:green-dot,en:rainforest-alliance,en:rainforest-alliance-cocoa	Austria, Belgium, Denmark, France, Germany, Ireland, Netherlands, Portugal, Singapore, Spain, Sweden, Switzerland, United Kingdom	en:austria,en:belgium,en:denmark,en:france,en:germany,en:ireland,en:netherlands,en:portugal,en:singapore,en:spain,en:sweden,en:switzerland,en:united-kingdom			0		fr:Vanille de Madagascar	fr:vanille-de-madagascar			Allemagne						_skummetmælk_, sukker, kakaosmør, vand, kokosolie, _skummetmælkspulver_, _mandel_, gluokosesirup, _mælkefedt_, glukose-fruktosesirup, vallepulver (_mælk_), kakaomasse, emulgatorer (E471, E442, E476), vaniljestang, stabilisatorer (E410, E412, E407), naturlig vaniljearoma (_mælk_), aroma, farvestof (E160a)	entrahmte _Milch_, Zucker, Kakaobutter, Wasser, Kokosfett, _Magermilchpulver_, _Mandeln_, Glukosesirup, _Butterreinfett_, Glukose-Fruktose-sirup , _Molkenerzeugnis_, Kakaomasse, Emulgatoren (E471, E442, E476), vermahlene Vanilleschoten, Stabilisatoren (E410, E412, E407), natürliches Vanillearoma (mit _Milch_), Aroma, Farbstoff (E160a)	Glutenfree	_leche_ desnatada rehidratada, azúcar, manteca de cacao, agua, grasa de coco, _leche_ desnatada en polvo, _almendras_, jarabe de glucosa, _mantequilla_ concentrada, jarabe de glucosa-fructosa, suero de _leche_ en polvo, pasta de cacao emulgentes (E471, E442, E476), vainas de vainilla, estabilizantes (E410, E412, E407), aroma natural de vainilla (contiene _leche_), aroma, colorante (E160a)		"LAIT écrémé réhydraté, sucre, beurre de cacao¹, eau, huile de coco, LAIT en poudre écrémé, AMANDES, sirop de glucose, BEURRE concentré, sirop de glucose-fructose, LACTOSE et protéines de LAIT, pâte de cacao¹, émulsifiants (E471 (d'origine végétale), E442, E476), gousses de vanille épuisées broyées, stabilisants (farine de graines de caroube, gomme guar, carraghénanes), arôme naturel de vanille¹ (dont LAIT), arôme, colorant (caroténoïdes). Peut contenir : soja, autres fruits à coque. Sans gluten. ¹Certifié Rainforest Alliance."			gerehydrateerde magere _melk_, suiker, cacaoboter, water, kokosolie, magere _melkpoeder_, _amandelen_, glucosestroop, _boterconcentraat_, glucose-fructosestroop, _lactose_, _melkeiwitten_, cacaomassa, emulgatoren (E471, E442, E476), uitgeputte gemalen vanillestokjes, stabilisatoren (E410, E412, E407), natuurlijk vanille-aroma (bevat _melk_), aroma, kleurstof (E160a)			_leite_ magro, reconstituido, açúcar, manteiga de cacau, água, gordura de coco, _leite_ magrom em pó, _amêndoas_, xarope de glicose, _manteiga_ concentrada, xarope de glicose e frutose, _lactose_ en proteínas lácteas (_leite_), pasta de cacau, emulsionantes (E471, E442, E476), vagem de baunilha, espessantes (E410, E412, E407), aroma natural de baunilha (contém _leite_), aroma, corante (E160a)		_skummjölk_, socker, kakaosmör, vatten, kokosolja, _skummjölkspulver_, _mandel_, glukossirap, _mjölkfett_, glukos-fruktossirap, vasslepulver (_mjölk_), kakaomassa, emulgeringsmedel (E471, E442, E476), vaniljstångbitar, stabiliseringsmedel (E410, E412, E407), naturlig vaniljarom (_mjölk_), arom, färgämne (E160a)	Milk, Nuts	en:milk,en:nuts	Gluten, Nuts, Peanuts, Soybeans	en:gluten,en:nuts,en:peanuts,en:soybeans		100g	100g	1180	kJ			282	kcal			17	g			11	g			27	g			24	g					3.9	g			0.11	g			0.044	g					1180	kJ																																																							1	en:box	en:cardboard	en:recycle		41.8		en:film																"À conserver à -18°C."	Sortez vos glaces du congélateur quelques minutes avant de les déguster, afin de profiter pleinement de leurs saveurs.		d	Magnum Relation Consommateurs, Unilever France, 20 rue des Deux Gares 92842 Rueil-Malmaison Cedex		en:ice-cream	en:milk-and-dairy-products,en:ice-cream		unknown	d	18	a	90		39509	-5	-2	0	10								3011780500106	10000215	Crèmes Glacées/Desserts Glacés (Surgelé)	true	2023-05-24T10:03:12+02:00	UNILEVER FRANCE GMS	CU MAGN 55ML MINI ALMOND CL1 6MP	2023-05-24T10:03:12+02:00	App - yuka, Apps, Producers, Producer - unilever-france, Database - Equadis, Database - GDSN, Databases, Producer - unilever-france-gms, App - InFood, App - Speisekammer
5014733022623		en					orange ice lollies																												6				lolly land	lolly-land						United Kingdom	en:united-kingdom			0																															100g	100g																																																																																																																																	unknown			unknown		1		-5	-15	1	0																
5010482888145		en					Vanilla Ice Cream																																Iceland	iceland						United Kingdom	en:united-kingdom			0																															100g	100g					193	kcal			9.3	g			8	g			24.3	g			21.3	g			0.3	g	2.8	g			0.2	g			0.08	g					193	kcal																																																																																							unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
3415582302928		en					Haagen Dazs belgian chocolate and strawberry crunch ice cream																																Häagen-Dazs	haagen-dazs		Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams			United Kingdom	en:united-kingdom			0																															100g	100g					305	kcal			20.4	g			11.2	g			25.1	g			24.4	g					4.3	g			0.14	g			0.056	g					305	kcal																																																																																				en:ice-cream	en:milk-and-dairy-products,en:ice-cream		unknown	d	18	b	67	1	39509	-5	-15	1	0																App - yuka, Apps
8711327318373		en				Cornetto classico	Cornetto classico	Cornetto Classico							Cornetto Classico	Cornetto classico					Eis mit Vanillegeschmack in einer Waffel mit kakaohaltiger Fettglasur. Haselnussstückchen	Vanilla flavour ice cream in a wafer cone with chocolate flavour coating and hazelnut pieces	Helado sabor nata con barquillo, con recubrimiento al chocolate y trocitos de avellana								Gelado aromatizado de baunilha, cone de bolacha, cobertura aromatizada de chocolate e pedaços de avelã	"Înghețată cu aromă de vanilie în con de napolitană, cu glazură cu cacao cu conținut redus de grăsime şi bucăţele de alune de pădure"			540ml	90g	Card-box, Green dot	en:card-box,en:green-dot	Walls	walls		Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream cones, Vanilla ice cream cones	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-cones,en:vanilla-ice-cream-cones	Green Dot	en:green-dot	Austria, France, Germany, Spain, United Kingdom	en:austria,en:france,en:germany,en:spain,en:united-kingdom	Tesco	tesco	0		United Kingdom	en:united-kingdom				United Kingdom	united-kingdom					"Entrahmte _Milch_, pflanzliche Fette und Öle (Kokos, Sonnenblumen), Glukosesirup, Zucker, _Weizenmehl_, Fruktose, _Haselnüsse_ (2,5%), fettarmer Kakao, Stärke, Wasser, Emulgatoren (Lecithine, Ammoniumphosphatide, Mono - und Diglyceride von Speisefettsäuren), Stabilisatoren (Johannisbrotkernmehl, Guarkernmehl, Carrageen), _Molkenerzeugnis_, Salz, _Magermilchpulver_, karamellisierter Zucker, Aromen (_Milch_)."	reconstituted skimmed  milk , vegetable oils (coconut, sunflower), glucose syrup, sugar,  wheat  flour, fructose,  hazelnuts  2,5%, fat-reduced cocoa powder, potato starch, water, emulsifiers (sunflower lecithins, ammonium phosphatides, mono - and diglycerides of fatty acids), stabilisers (locust bean gum, guar gum, carrageenan), whey solids ( milk ), salt, skimmed  milk  powder, caramelised sugar syrup, flavourings ( milk ),	_Leche_ desnatada rehidratada, grasa y aceite vegetales (coco, girasol), jarabe de glucosa, azúcar, harina de _trigo_, fructosa, _avellanas_ 2,5%, cacao en polvo desgrasado, almidón de patata, agua, emulgentes (lecitina de girasol, fosfátidos de amonio, mono y diglicéridos de ácidos grasos), estabilizantes (goma garrofin, goma guar, carragenanos), suero de _leche_ en polvo, sal, _leche_ desnatada en polvo, azúcar caramelizado, aromas (_leche_).								_Leite_ magro reconstituido, xarope de glicose, gordura de coco, açúcar, farinha de _trigo_, frutose, pedaços de _avelã_ 2,5%, cacau magro em pó, óleo de girasol, amido de batata, água, emulsionantes (lecitina de girassol, fosfatideos de amónio, mono e diglicéridos de ácidos gordos), espessantes (farinha de semente de alfarroba, goma de guar, carragenina), _lactose_, proteínas lácteas (_leite_), sal, _leite_magro em pó, açúcar caramelizado, aromas (_leite_).	"_Lapte_ degresat reconstituit, uleiuri vegetale (cocos, floarea soarelui), sirop de glucoză, zahăr, făină din _grâu_, fructoză, bucățele de _alune_ de pădure 2,5%, cacao pudră cu conținut redus de grăsime, amidon de cartofi, apă, emulsifianți (lecitină din floarea soarelui, fosfatide de amoniu, mono şi digliceride ale acizilor graşi), stabilizator (gumă de carruba, gumă de guar, caragenan), zer pudră (_lapte_), sare, _lapte_ praf degresat, zahăr caramelizat, arome (_lapte_)."		Gluten, Milk, Nuts	en:gluten,en:milk,en:nuts	Soybeans	en:soybeans		100g	100g	1242	kJ			296	kcal			16	g			13	g			33	g			18	g					3.1	g			0.2	g			0.08	g					1242	kJ																																																								en:container						en:box						en:unknown															https://www.wallsicecream.com/uk/our-brands/cornetto/cornetto_range/cornetto-classico-6mp.html	en:ice-cream	en:milk-and-dairy-products,en:ice-cream	4	en:4-ultra-processed-food-and-drink-products	d	16	b	77		39509	5	-15	0	0																App - elcoco, Apps, App - yuka, App - El CoCo, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer
4088600274515		en					Ice coolers																												6 x 80 g											United Kingdom	en:united-kingdom			0														blackcurrant: water, blackcurrant puree ( sugar, glucose synap blackcurrant juice from concentrate (3,5%), flavourings, aad: citic acid concentrated beetroot juice, stabiliser: guar gum strawberry: water, strawberry puree (15%l, sugar, glucose syrup, ncentrated beetroot juice, acid: citric acid, flavourings, stabiliser: guar gum: colour: carotenes blackcurrant cooler: ljpial atues per 100g energ carbohydrate 14g of which sugars 13g fbred5g prote (80g) (%,  quot,r): energy 200k/47kal2 ft 5g{,lt,1%), of which sugars 11g (12%), fibe d5g potein ,lt,15g sal t strawberry cooler: jpicalvaues per 100g energy 257 carbohydrate 15g of which sugars 14g fibre,lt,0,5g protein,lt, thopical: water, sugar passion fruit juice from concentrate (7%) (80g) (%°r(), energy 206kj/																	100g	100g					5	kcal			0.5	g			0.5	g			14	g			13	g					0.5	g													5	kcal																																																																																						4	en:4-ultra-processed-food-and-drink-products			unknown		1		-5	-15	1	0																App - yuka, Apps, App - InFood
0850040427066		en					Ice Pop																																			Desserts, Frozen foods, Frozen desserts, Ice pops	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-pops			United Kingdom	en:united-kingdom			0																															100g	100g					5	kcal			0	g			0	g			1.2	g			0.4	g			1.2	g	0	g													5	kcal																																																																																							unknown			b	73	1	39526	-5	-15	1	0																App - Yuka, Apps, App - InFood, App - smoothie-openfoodfacts
